,Nom,Né le
8250,Jules Méline,20 mai 1838
8251,"Charles, Amédée Tramu",17 mai 1838
8252,"Norbert, Marie, Solange, Guillaume de Benoit",12 mai 1838
8253,"Albert, Michel Desjardins",28 avril 1838
8254,Charles Balsan,16 avril 1838
8255,Auguste Lacôte,15 avril 1838
8256,"Louis, Antoine Blanc",14 avril 1838
8257,"Eugène, François, Joseph Durand",13 avril 1838
8258,Dominique Forcioli,6 avril 1838
8259,"Léon, Michel Gambetta",2 avril 1838
8260,"Georges, Jean-Marie Brunel",1er avril 1838
8261,"Léon, Albert Lefébure",31 mars 1838
8262,André Folliet,18 mars 1838
8263,Lucien Gaultier de La Ferrière,17 mars 1838
8264,"Jean, Charles Chevillotte",3 février 1838
8265,Jean Marty,31 janvier 1838
8266,Alexandre Mauguin,30 janvier 1838
8267,Claude Delanne,27 janvier 1838
8268,"Alexis, Achille Delaunay",22 janvier 1838
8269,Jules Gros,17 janvier 1838
8270,"Victor, Paul Poupin",3 janvier 1838
8271,"Frédéric, Constant, Etienne Cournet",25 décembre 1837
8272,"Louis, Constantin, Henri, François-Xavier de Clercq",24 décembre 1837
8273,"Emile, Alexandre Riotteau",18 décembre 1837
8274,"Jean, Léon Clerjounie",11 décembre 1837
8275,"Louis, Victor Dubois",4 décembre 1837
8276,Jules Delon-Soubeiran,21 novembre 1837
8277,Francisque Rive,17 novembre 1837
8278,"Pierre, Paul Devès",3 novembre 1837
8279,Georges Gamard,30 octobre 1837
8280,"Alban, Bernard David",19 octobre 1837
8281,Edmond Berlet,18 octobre 1837
8282,"Léon, Paul Lorois",13 octobre 1837
8283,"Charles, Claude Barrière",26 septembre 1837
8284,"Eugène, François, Germain Casse",22 septembre 1837
8285,"Ferdinand, Louis, Barthélemy Arnault",21 septembre 1837
8286,Louis Varlet,19 septembre 1837
8287,"Auguste, Louis, Albéric d'Arenberg",15 septembre 1837
8288,"Joseph, Louis de Luppé",7 septembre 1837
8289,Charles Neyrand,7 septembre 1837
8290,"René, Celestin, Alfred Hérault",27 août 1837
8291,"Jules-Antoine, Louis, Barthélémy Razimbaud",24 août 1837
8292,Henri Liouville,17 août 1837
8293,Alexis Maréchal,13 août 1837
8294,François Debève,13 août 1837
8295,"Alfred, Louis, Joseph Girard",11 août 1837
8296,"Sadi, Marie, François Carnot",11 août 1837
8297,Fidèle Simon,6 août 1837
8298,Emile Maruéjouls,4 août 1837
8299,Charles Niel,29 juillet 1837
8300,"Honoré, Jean, Félix Pontois",26 juillet 1837
8301,"Valérius, Alphonse Leteurtre",16 juillet 1837
8302,"Joseph, Claude Rochet",1er juillet 1837
8303,"André, Victor Cornil",17 juin 1837
8304,Xavier Mougin,14 juin 1837
8305,"Albert, Augustin Pétrot",3 juin 1837
8306,"Paul, Joseph, Raphaël de Rabiers du Villars",2 juin 1837
8307,"Antoine,Louis, Athanase Poictevin de La Rochette",2 juin 1837
8308,Henri Mathé,27 mai 1837
8309,"Alexandre, Raoul, Marie Blin de Bourdon",20 mai 1837
8310,"Jean, Baptiste, Joseph Claverie",18 mai 1837
8311,"Charles, Louis Munier",17 mai 1837
8312,"Marie, Ferdinand, Raoul de La Bourdonnaye",12 mai 1837
8313,Jules Brunard,6 mai 1837
8314,"Ernest, Henri, Bernard Blachère",3 mai 1837
8315,"Alfrede, Vincent Tardif",30 avril 1837
8316,"Georges, Ernest, Jean-Marie Boulanger",29 avril 1837
8317,Emile Crozet-Fourneyron,22 avril 1837
8318,François de Klopstein,18 avril 1837
8319,Emile Moreau,8 avril 1837
8320,"Amédée-Pierre,Marie, Auguste, Ennemond Bovier-Lapierre",27 mars 1837
8321,Félix Canet,7 mars 1837
8322,Henry Maret,4 mars 1837
8323,Julien Coudreuse,26 février 1837
8324,"Horace, Eugène, Antoine de Choiseul-Praslin",23 février 1837
8325,Jules Siegfried,12 février 1837
8326,Gustave Trannoy,6 février 1837
8327,Pierre Tassin,21 janvier 1837
8328,"Camille, Régis Mathéi de la Calmette de Valfons",11 janvier 1837
8329,Edouard Aynard,1er janvier 1837
8330,"Jean, Pierre, Léon Abrial",28 décembre 1836
8331,"Paul, Emile Lenglé",19 décembre 1836
8332,"Jean, Gustave Bernard",11 novembre 1836
8333,Severiano de Hérédia,8 novembre 1836
8334,"Jean, Joseph, Roger Girard Du Demaine",5 novembre 1836
8335,"Joseph, Louis Barré",5 novembre 1836
8336,"François, Alphonse, Camille Roissart de Bellet",24 octobre 1836
8337,"Eugène, Alfred Jacquemart",3 octobre 1836
8338,Emile Devic,3 octobre 1836
8339,François Taillefer,30 septembre 1836
8340,"François, Alexis, Alcide Dusolier",21 septembre 1836
8341,"Adolphe, Etienne, Marius Defarge",22 août 1836
8342,"Louis, Adolphe Rollin",18 août 1836
8343,"Paul, Dominique Rameau dit Chevrey-Rameau",5 août 1836
8344,Camille Nicolle,2 août 1836
8345,Louis Bizarelli,25 juillet 1836
8346,"Adolphe, Achille Lelièvre",25 juillet 1836
8347,"Louis, Emile Desloye",8 juillet 1836
8348,"Georges, Casimir Roche",2 juillet 1836
8349,Alfred Tiphaine,30 juin 1836
8350,Henri de Legge,29 juin 1836
8351,"Auguste, Pierre, Antoine Gaillard",19 juin 1836
8352,"Gustave, Louis Masure",17 juin 1836
8353,"Léon, Armand, Charles de Baudry d'Asson",15 juin 1836
8354,"Auguste, Jean, Jacques, Martin Balsan",6 juin 1836
8355,"Edmond, Henri Turquet",31 mai 1836
8356,Nathaniel Johnston,29 mai 1836
8357,"Edmé, Alfrède Bourgoin",27 mai 1836
8358,Auguste Rispal,25 mai 1836
8359,Joseph Lasserre,23 mai 1836
8360,Antoine Perrier,15 avril 1836
8361,Joseph Grimaud,9 avril 1836
8362,"Louis, Charles, Thomas Savoye",7 avril 1836
8363,"Clément, Aimé, Jean Duvernois",6 avril 1836
8364,Charles Dureau de Vaulcomte,5 avril 1836
8365,"Jean-Baptiste, Vincent, Henri Mallevialle",4 avril 1836
8366,"Ernest, Gabriel des Roys",4 avril 1836
8367,"Just, Louis, Anatole Hugot",3 avril 1836
8368,Henri Le Loup de La Biliais,22 mars 1836
8369,"Eugène, Charles, Genest Tallon",21 mars 1836
8370,Joseph Mercier,18 mars 1836
8371,"Léon, Louis Renard",16 mars 1836
8372,Auguste Guinard,9 mars 1836
8373,"Frédéric, Jean, François, Gustave Garnier",24 février 1836
8374,"Frédéric, Jean, François Taberlet",21 février 1836
8375,Jules Steeg,21 février 1836
8376,Paul Jozon,12 février 1836
8377,"François, Paul Barbé",4 février 1836
8378,"Paul, Joseph Cottin",1er février 1836
8379,"Victor dit Victorin Masséna Duc de Rivoli, Prince d'Essling",14 janvier 1836
8380,"François, Edouard Planteau",8 janvier 1836
8381,"Gabriel, Adolphe Magnien",5 janvier 1836
8382,Oscar Bardi de Fourtou,3 janvier 1836
8383,Siméon Aucouturier,23 décembre 1835
8384,Casimir Lesage,19 décembre 1835
8385,"Arthur, Auguste, Eléonor Ballue",16 décembre 1835
8386,"Eugène, Adolphe, Philippe Rigaut",13 décembre 1835
8387,"Dominique, Emile Cazeaux",12 décembre 1835
8388,Eugène Spuller,8 décembre 1835
8389,"Théophile, Jean, Eloi Goujon",1er décembre 1835
8390,"Pierre, Joseph, Louis, Numa Baragnon",24 novembre 1835
8391,"Léon, Marie, Joseph Bienvenu",19 novembre 1835
8392,"Charles, Edouard Langlois de Septenville",17 novembre 1835
8393,Jean-Louis Jacquier,26 octobre 1835
8394,"Maurice, Marc, Auguste Demarçay",26 octobre 1835
8395,"Adrien, François, Arthur, Gaétan de Valon",15 octobre 1835
8396,"Jean-Marie, Arthur Labordère",12 octobre 1835
8397,Amédée Olive,10 octobre 1835
8398,Louis Lacave-Laplagne,3 octobre 1835
8399,"Philippe, Eugène Cuissart",24 septembre 1835
8400,Edouard Henrion,18 septembre 1835
8401,"Victor, Henri, Emile Magniez",9 septembre 1835
8402,"Paul, Armand Rousseau",24 août 1835
8403,"Léon, Jean Talou",15 août 1835
8404,"Ernest, François Briens",13 août 1835
8405,Léonce Pascal,7 août 1835
8406,"Vincent, Gaëtan Allègre",7 août 1835
8407,Gaston de Douville-Maillefeu,6 août 1835
8408,Charles Mollien,4 août 1835
8409,Sylvestre Hérisson,2 août 1835
8410,"Henri, Eugène Brisson",31 juillet 1835
8411,Agamemnon Imbert,28 juillet 1835
8412,Ernest Herbecq,23 juillet 1835
8413,Albert Lezaud,22 juillet 1835
8414,"Jean, Claude, Etienne, Edmond Perras",7 juillet 1835
8415,"Charles, François, Marie d'Harcourt",21 juin 1835
8416,Jacques Chaussier,7 juin 1835
8417,"Marie, Charles, Albert Costa de Beauregard",24 mai 1835
8418,Hector Sirot-Mallez,14 mai 1835
8419,"Henri, Joseph Dugué de la Fauconnerie",11 mai 1835
8420,"Paul, Louis de Leusse",28 avril 1835
8421,Paul Gerbay,17 avril 1835
8422,"Jean, Anne, Antoine Lafont",2 avril 1835
8423,François Brune,1er avril 1835
8424,Jules Mercier,23 mars 1835
8425,"Marie, Edouard, Benjamin Vandier",9 mars 1835
8426,"Léon, Emmanuel Martin",2 mars 1835
8427,"Fernand, Louis Monier de la Sizeranne",9 février 1835
8428,Gustave Hainsselin,9 février 1835
8429,Auguste Schneegans,8 février 1835
8430,"Jean-Baptiste, Jacques Chépié",5 février 1835
8431,"René, Charles Reille-Soult-Dalmatie",4 février 1835
8432,Joseph Sentenac,24 janvier 1835
8433,Léon Laroze,21 janvier 1835
8434,Vital Bruneau,3 janvier 1835
8435,"Pierre, Félix Mathé",20 décembre 1834
8436,"Edouard, Mathurin Fould",18 décembre 1834
8437,"Jules, Hippolyte, Joseph Hermary",14 décembre 1834
8438,"Marie, Jules Blancsubé",11 décembre 1834
8439,Guillaume Lacroix,11 décembre 1834
8440,"Jacques, Paul Taudière",30 novembre 1834
8441,"Pierre, François, Florentin Malartre",29 novembre 1834
8442,"François, Joseph Gastu",18 novembre 1834
8443,Armand Jacquey,15 novembre 1834
8444,"Jean-Baptiste, Jules Charonnat",4 novembre 1834
8445,"Marie, Xavier, Ernest Vissaguet",4 novembre 1834
8446,Jules Leveillé,22 octobre 1834
8447,"Antoine, Alexandre d'Estienne de Prunières",15 octobre 1834
8448,"Alfred, Joseph Naquet",6 octobre 1834
8449,"Georges, Paul, Louis Berger",5 octobre 1834
8450,"Jacques, Michel, Marie Even",29 septembre 1834
8451,Jean Carrier,28 septembre 1834
8452,Hippolyte Gassier,21 septembre 1834
8453,Louis Delpech,8 septembre 1834
8454,Louis Prud'Homme-Havette,8 septembre 1834
8455,Edouard Millaud,7 septembre 1834
8456,René Clerel de Tocqueville,1er septembre 1834
8457,"Edmond, Marie Lefebvre du Prey",16 août 1834
8458,Numa Gilly,6 août 1834
8459,Eugène Joly de Morey,24 juillet 1834
8460,Paul-Henry de Lanjuinais,24 juillet 1834
8461,Elie Ledieu,21 juillet 1834
8462,"Aristide, Emile, Jules Rey",12 juillet 1834
8463,"Aimé, Alfred Dubois",8 juillet 1834
8464,"Jean, Justin, Fritz, Etienne David",6 juillet 1834
8465,Raymond Gorsse,5 juin 1834
8466,"Achille, Alfred Werquin",3 juin 1834
8467,Pascal Faberot,27 mai 1834
8468,Charles Ferry,23 mai 1834
8469,Arthur Dillon,18 mai 1834
8470,Pierre Legrand,13 mai 1834
8471,"Eugène, Marie Pinault",10 mai 1834
8472,Paul Béranger,10 mai 1834
8473,Ferdinand Théron,5 mai 1834
8474,Jules Jaluzot,5 mai 1834
8475,Octave Cazauvieilh,4 mai 1834
8476,"Eugène, Charles Bruel",19 avril 1834
8477,Louis Guillaumou,17 avril 1834
8478,"Georges, Jean, Angel Levet",13 avril 1834
8479,Armand Després,12 avril 1834
8480,"Alfred, Jean-Baptiste, Louis Laroze",5 avril 1834
8481,"Charles, Emile Delmas",27 mars 1834
8482,Samuel Welles de Lavalette,22 mars 1834
8483,Théophile Labat,20 mars 1834
8484,"Gilbert, Armand Fourot",10 mars 1834
8485,"Pierre, François Aujame",6 mars 1834
8486,"Louis, Alphonse Gouzillon de Bélizal",6 mars 1834
8487,Ernest Morin-Latour,23 février 1834
8488,"Edouard, Jean, Constantin Martell",17 février 1834
8489,Achille Lefort,11 février 1834
8490,"Paul, Jean-François Bouvier d'Yvoire",10 février 1834
8491,"Louis, Jules, Léon Maurice",2 février 1834
8492,Eugène Deniau,1er février 1834
8493,"Paul, Léon Aclocque",19 janvier 1834
8494,Honoré Giguet,13 janvier 1834
8495,Paul Guyot,6 janvier 1834
8496,"Jean, Jules, Henri Belon",6 janvier 1834
8497,Alfred François,27 décembre 1833
8498,Edmond Guyot-Dessaigne,25 décembre 1833
8499,"Edouard, Auguste, Bernardin du Mesnildot",21 décembre 1833
8500,Charles Beauquier,18 décembre 1833
8501,"Edouard, François André",14 décembre 1833
8502,"Jules, Théodore Thiessé",6 décembre 1833
8503,Octave de Boigne,4 décembre 1833
8504,"Louis, Auguste Royer",29 novembre 1833
8505,Louis Obissier Saint-Martin,26 novembre 1833
8506,"Marie, Casimir, Auguste Lestourgie",12 novembre 1833
8507,"Arthur, Marie, Alexis Legrand",28 octobre 1833
8508,"Eugène, Robert des Rotours",23 octobre 1833
8509,Paul Bert,19 octobre 1833
8510,Louis dit Lucien Mangini,18 octobre 1833
8511,"Joseph, Pierre, Louis, Edouard Ducos",14 octobre 1833
8512,"Paul, Louis, Gabriel Bethmont",12 octobre 1833
8513,Victor Deviolaine,18 septembre 1833
8514,Henri Besnard de Guitry,12 septembre 1833
8515,Jacques Olry,11 septembre 1833
8516,Pétrus Richarme,10 septembre 1833
8517,"Anatole, Bernard, Joseph de Colombet de Landos",7 septembre 1833
8518,Jacques Duvigneau,21 août 1833
8519,"Ernest, François Lefèvre",15 août 1833
8520,"Joseph, Maria, Hubert Vaysse de Rainneville",7 août 1833
8521,"Martial, François, Germain Baile",31 juillet 1833
8522,"Alexandre, Hugues, Anatole Flandin",11 juillet 1833
8523,Joseph Rumillet-Charretier,3 juillet 1833
8524,Camille Viox,30 juin 1833
8525,"Charles, Joseph du Campe de Rosamel",24 juin 1833
8526,Amédée Lefèvre-Pontalis,20 juin 1833
8527,Jules Tourgnol,17 juin 1833
8528,"Marie, Jean, Arthur Harouart de Suarès d'Aulan",24 mai 1833
8529,Frédéric Escanyé,15 mai 1833
8530,"Edouard, Antoine, Guillaume Rolland",7 mai 1833
8531,"Ernest, Jean, Antoine Constans",3 mai 1833
8532,"Eugène, Aimé Bisseuil",23 avril 1833
8533,Hervé de Saisy,5 avril 1833
8534,"Julien, Gaston du Vergier de La Rochejaquelein",27 mars 1833
8535,Paul Gouzy,18 mars 1833
8536,Henri Iung,12 mars 1833
8537,"Adrien, Barthélémy, Louis, Henri Rieunier",6 mars 1833
8538,"Albert, Joseph Ferry",27 février 1833
8539,Charles Le Myre de Vilers,17 février 1833
8540,Jean Hély d'Oissel,15 février 1833
8541,Georges Brialou,14 février 1833
8542,Auguste Scheurer-Kestner,11 février 1833
8543,"Philippe, François Roret",4 février 1833
8544,"Dominique, François Ceccaldi",2 février 1833
8545,"Alphonse, Xavier Noirot",2 février 1833
8546,"Pierre, Alexandre Panon Desbassayns de Richemont",29 janvier 1833
8547,Alexandre Estignard,27 janvier 1833
8548,Camille Cousset,16 janvier 1833
8549,Prosper Deshayes,15 janvier 1833
8550,"Jean, Jules Oudoul",6 janvier 1833
8551,"Louis, Joachim Le Maguet",2 janvier 1833
8552,Emile Weill-Mallez,1er janvier 1833
8553,Armand Jaouen,5 décembre 1832
8554,Félix Voisin,3 décembre 1832
8555,"Frédéric, Armand de Mackau",29 novembre 1832
8556,"Claude, Stanislas Baltet",25 novembre 1832
8557,"Paul, Grégoire Rondeleux",20 novembre 1832
8558,Edouard Teutsch,5 novembre 1832
8559,"Joseph, René Guéguen",4 novembre 1832
8560,"Félix, Marie Renaud",30 octobre 1832
8561,"Maurice, Louis Richard",26 octobre 1832
8562,Claude Ducher,21 octobre 1832
8563,Camille Godelle,21 octobre 1832
8564,Frédéric Desmons,14 octobre 1832
8565,Albert Descamps,13 octobre 1832
8566,"Charles, Marie, Pierre Huon de Penanster",11 octobre 1832
8567,Joseph Martin d'Auray,4 octobre 1832
8568,"Etienne, Charles Mercier de Lacombe",25 septembre 1832
8569,"Athanase, Charles, Marie de Charette",18 septembre 1832
8570,Félix Vogeli,14 septembre 1832
8571,Marie-Julien de La Batie,8 septembre 1832
8572,"Pierre, Joseph, Henri Marmottan",30 août 1832
8573,"Ernest, Louis, Marie Carré-Kérisouët",24 août 1832
8574,"Louis, Joseph, Napoléon de Cambacérès",22 août 1832
8575,"Eugène, Félix Deschange",9 août 1832
8576,"Emile, Eloi, Marie Carron",20 juillet 1832
8577,"Eugène, Daniel, Clélia Riu",15 juillet 1832
8578,"Gustave, Louis, Adolphe, Victor, Aristide, Charles Chaix d'Est-Ange",9 juillet 1832
8579,"Jacques, Jean, Ernest Busson-Duviviers",28 juin 1832
8580,Georges Arnoult,9 juin 1832
8581,"Armand, Isidore, Sylvain Petiet",3 juin 1832
8582,"François, Henri, René Allain-Targé",17 mai 1832
8583,"Charles, Pierre, Eugène Jourdan",13 mai 1832
8584,"Antoine, François, Félix Gaudy",3 mai 1832
8585,"Cyprien, Jean-Jacques Girerd",1er mai 1832
8586,Hippolyte Prudhon,30 avril 1832
8587,Jacques Riberpray,26 avril 1832
8588,Emile Coutisson,21 avril 1832
8589,"François, Jean, Amédée Girot-Pouzol",18 avril 1832
8590,"Joseph, Maurice Cosson",18 avril 1832
8591,"Edgar, Raoul Raoul-Duval",9 avril 1832
8592,"Jules, François, Camille Ferry",5 avril 1832
8593,"Léon, Cléry Vacher",28 mars 1832
8594,"Alfred, françois Lallié",27 mars 1832
8595,Emile de Kératry,24 mars 1832
8596,Antonin Proust,5 mars 1832
8597,Paul Le Gavrian,28 février 1832
8598,"Auguste, Léopold, Frédéric, Clément Galpin",23 février 1832
8599,"Etienne, Jacques, Auguste Boullier",21 février 1832
8600,"Léopold, Louis, Xavier, Alfred Le Hon",16 février 1832
8601,Clément Laurier,3 février 1832
8602,"Jean, Balthazar, Alexandre Vinatier",23 janvier 1832
8603,"Louis, Eugène Péronne",20 janvier 1832
8604,"Emmanuel, Stanislas de Noblet de La Rochethulon",17 janvier 1832
8605,"Antoine, dit Tony Révillon",30 décembre 1831
8606,Arthur Ranc,20 décembre 1831
8607,Claude Clausel de Coussergues,3 décembre 1831
8608,"François, Marie Le Pomellec",2 décembre 1831
8609,"Jean, Charles, Emile Bonnaud",1er décembre 1831
8610,Arsène Picard,23 novembre 1831
8611,"Paul, Louis, Etienne de Rémusat",17 novembre 1831
8612,"Ernest, Pierre, Julien Delbet",9 novembre 1831
8613,Pierre Montgolfier-Verpilleux,6 novembre 1831
8614,Emile Reyneau,30 octobre 1831
8615,"Anne, Charles Hérisson",12 octobre 1831
8616,Antoine Lagnel,8 octobre 1831
8617,Eugène Pereire,1er octobre 1831
8618,"Paul, Emile Lorois",29 septembre 1831
8619,Charles Jonglez,28 septembre 1831
8620,"Henri, Charles, Louis Deguilhem",20 septembre 1831
8621,"Etienne, Marie, Aimé Vaissière de Saint-Martin-Valogne",14 septembre 1831
8622,"Octave, Guillaume, Amable de Bastard d'Estang",21 août 1831
8623,"Pierre, Jules Le Souef",19 août 1831
8624,"François, Mathieu, Léonard Limperani",3 août 1831
8625,"Auguste, Joseph Bernard",30 juillet 1831
8626,Etienne Buyat,8 juillet 1831
8627,"Théophile, René Roger-Marvaise",7 juillet 1831
8628,Anatole Desbons,20 juin 1831
8629,Henri Nompère de Champagny,17 juin 1831
8630,"André, Gilbert, Adolphe Laville",6 juin 1831
8631,"Paul, Xavier Besson",5 juin 1831
8632,Gustave d'Egremont,4 juin 1831
8633,Gaston Ganault,17 mai 1831
8634,"Achille, Félix Delorme",13 avril 1831
8635,"Louis, Charles, Edmond Develle",6 avril 1831
8636,Augustin de Mornay,27 mars 1831
8637,Henri Salomon,21 mars 1831
8638,Jules-Victor Peyrusse,21 mars 1831
8639,"René, François, Julien, Barbotin",13 mars 1831
8640,"Albert, Marie, Ambroise Caradec",12 mars 1831
8641,"Constant, Lucien Pilet des Jardins",9 mars 1831
8642,"Louis, Henri, Angeli Cavalié",4 mars 1831
8643,"Jean-Baptiste, Louis, Philippe Mie",28 février 1831
8644,"Henri, Louis, Jules Le Vaillant Du Douët",27 février 1831
8645,"Jean-Baptiste, Alexandre Dupont de Bosredon",22 février 1831
8646,Jean-Baptiste Bourgeois dit Bourgeois-Du-Jura,19 février 1831
8647,Jules Lasbaysses,12 février 1831
8648,"Jean, Emile Roger",3 février 1831
8649,"Victor, Henri de Rochefort-Luçay",31 janvier 1831
8650,"Léopold, Camille Cernesson",28 janvier 1831
8651,"Julien, Armand Bigot",18 janvier 1831
8652,Auguste Boulanger-Bernet,12 janvier 1831
8653,"Jules, Yves Donnet",10 janvier 1831
8654,"Isidore, Pierre Christophle",8 janvier 1831
8655,Jean-Baptiste Fagot,1er janvier 1831
8656,"Bernard, Gabriel Marty",28 décembre 1830
8657,Bernard Thonion,17 décembre 1830
8658,Jules Grosjean,10 décembre 1830
8659,"Louis, Charles, Paulin Passy",4 décembre 1830
8660,"Jules, Marie Merlet",26 novembre 1830
8661,Félix Martin-Feuillée,25 novembre 1830
8662,"Antoine, Victorin, Edouard Mas",25 novembre 1830
8663,"André, Florimond Chollet",20 novembre 1830
8664,Théophile Souchu-Servinière,17 novembre 1830
8665,"Damas, Dominique, Jules Brice",28 octobre 1830
8666,"Charles, Emile Gueidan",26 octobre 1830
8667,"Edouard, Léon, Napoléon Mathieu",15 octobre 1830
8668,"Ernest, Timoléon, Gabriel Mingasson",14 octobre 1830
8669,"Emile, Eustache George",3 octobre 1830
8670,"Paul, Emile Flye-Sainte-Marie",21 septembre 1830
8671,Camille de Meaux,18 septembre 1830
8672,Henri Fournier,1er septembre 1830
8673,"Emile, Charles, Auguste Jacques-Palotte",28 août 1830
8674,Isaac Villain,22 août 1830
8675,"Antonin, Germain Lefèvre-Pontalis",19 août 1830
8676,"Henri, Marie, Jacques, Charles de Vaujuas-Langan",11 août 1830
8677,"Eugène, Louis, Nazaire, Bénigne Blandin",28 juillet 1830
8678,"Ernest, Eugène Fousset",24 juillet 1830
8679,"François, Césaire de Mahy",22 juillet 1830
8680,"François, Théophile, Agénor Pain",16 juillet 1830
8681,Eugène Razoua,16 juillet 1830
